date,description,amount
2026-09-01,Monthly salary credit,92000
2026-09-02,Zomato dinner,-680.00
2026-09-03,BigBasket groceries,-2140.50
2026-09-05,Uber ride to office,-320.00
2026-09-06,Amazon online order,-1599.00
2026-09-08,Internet broadband bill,-1199.00
2026-09-10,Unknown organic market,-875.00
2026-09-12,Cinema tickets,-900.00
2026-09-14,Doctor clinic visit,-750.00
2026-09-16,Monthly rent payment,-24000.00
2026-09-18,Spotify subscription,-119.00
2026-09-20,Petrol station,-2500.00
2026-09-22,Bank fee,-250.00
